Event,Site,Date,Round,White,Black,Result,WhiteElo,BlackElo,ECO,Moves
XingQiu Open,Lishui CHN,2009.09.18,2,Wei Yi,Lou Yiping,1/2-1/2,2207,2398,C07,e2e4 e7e6 d2d4 d7d5 b1d2 c7c5 e4d5 d8d5 g1f3 c5d4 f1c4 d5d6 e1g1 g8f6 d2b3 b8c6 b3d4 c6d4 f3d4 a7a6 c2c3 d6c7 d1e2 c8d7 g2g3 e8c8 c1f4 f8d6 f4d6 c7d6 d4f3 d6c7 f3e5 d7e8 b2b4 f6d7 e5d7 e8d7 c4d3 h7h5 c3c4 h5h4 b4b5 c7c5 e2f3 h4g3 h2g3 f7f5 f1e1 h8h6 d3f1 e6e5 b5a6 h6a6 f3d5 c5d5 c4d5 a6a5 e1e5 d8e8 e5e8 d7e8 a1e1 c8d8 f1c4 e8f7 f2f4 a5c5 c4b3 d8d7 e1e5 g7g6 g3g4 f5g4 e5g5 b7b6 g1f2 d7d6 g5g4 c5c3 g4g5 c3h3 f4f5 g6f5 g5f5 f7e8 f5f6 d6c5 f6f8 e8b5 f8f6 h3d3 f2e1 d3d4 e1f2 b5a4 f2e1
XingQiu Open,Lishui CHN,2009.09.19,3,Xiu Deshun,Wei Yi,1/2-1/2,2494,2207,D34,d2d4 d7d5 c2c4 e7e6 b1c3 c7c5 c4d5 e6d5 g1f3 b8c6 g2g3 g8f6 f1g2 f8e7 e1g1 e8g8 c1g5 c5c4 f3e5 c8e6 b2b3 h7h6 g5f6 e7f6 e5c6 b7c6 b3c4 d5c4 e2e3 a8c8 d1c2 d8a5 c3e4 a5a6 e4d2 f6e7 f1c1 e7a3 c1b1 f8d8 g2f1 c6c5 d4d5 e6d5 f1c4 a6f6 c4d5 d8d5 d2c4 c8d8 b1f1 a3b4 a2a3 b4c3 a1d1 d5d1 f1d1 d8d1 c2d1 f6f5 d1b3 c3f6 c4d6 f5d7 b3d5 f6d8 e3e4 d8b6 g1g2 g8f8 g2f3 b6c7 d6c4 d7d5 e4d5 f8e7 f3e4 g7g6 e4d3 f7f5 h2h4 h6h5 f2f4 e7f6 c4d2 c7a5 d2f3 f6e7 f3e5 a5e1 e5g6 e7d6 d3c4 e1g3 a3a4 a7a6 a4a5 g3h2 g6e5 h2f4 e5d3 f4e3 d3e1 e3d2 e1d3 d2e3 d3e1 f5f4 e1f3 e3f2 f3g5 f2h4 g5e4 d6e5 e4c5 h4e7 c5a6 f4f3 c4d3 e5d5 d3e3
XingQiu Open,Lishui CHN,2009.09.20,4,Wei Yi,Ma Qun,1/2-1/2,2207,2337,B85,e2e4 c7c5 g1f3 d7d6 d2d4 c5d4 f3d4 g8f6 b1c3 e7e6 f1e2 a7a6 e1g1 d8c7 f2f4 f8e7 a2a4 e8g8 c1e3 b8c6 g1h1 c8d7 d1e1 c6b4 e1g3 a8c8 e4e5 f6d5 f4f5 g8h8 c3d5 b4d5 c2c4 d5e3 f5f6 f8g8 g3e3 d6e5 f6e7 e5d4 e3d4 d7e8 d4h4 f7f5 a1a3 c7e5 a3h3 h7h6 e2d3 e5b2 h4g5 b2f6 g5f6 g7f6 f1f5 e6f5 d3f5 e8g6 h3h6 h8g7 h6g6 g7f7 f5c8 g8g6 c8b7 a6a5 h1g1 f7e7 b7c6 e7d6 c6b5 g6g4 g1f2 g4d4 f2f3 d4d3 f3e4
6th TCh-CHN,Ningbo CHN,2010.04.16,1,Wei Yi,Zhao Jun,0-1,2244,2575,B33,e2e4 c7c5 g1f3 b8c6 d2d4 c5d4 f3d4 g8f6 b1c3 e7e5 d4b5 d7d6 c3d5 f6d5 e4d5 c6b8 c2c4 f8e7 f1e2 b8d7 e1g1 e8g8 g1h1 f7f5 f2f4 a7a6 b5c3 e7f6 d1c2 g7g6 c1e3 f8e8 a1e1 e5f4 e3f4 d7e5 b2b4 c8d7 c2b3 a8c8 e1c1 b7b6 c1c2 g6g5 f4d2 f6g7 c4c5 b6c5 b4c5 d6c5 b3b7 f5f4 b7a6 c8a8 a6b7 d7f5 c2b2 c5c4 d5d6 d8d6 c3b5 d6d8 d2c3 a8b8 e2c4 f5e6 c4e6 e8e6 b7c7 e6c6 c7d8 b8d8 b2e2 d8d5 c3e5 g7e5 b5a3 g8g7 a3c2 c6c4 a2a3 e5f6 c2b4 d5a5 e2c2 c4e4 c2c7 g7g6 c7c6 g6f7 c6c7 e4e7 c7e7 f6e7 b4c6 a5a3 c6e5 f7e6 e5f3 e7f6 h2h3 h7h5 f3h2 e6f5 f1b1 a3a5 b1f1 g5g4 h3g4 h5g4 g2g3 f6e5 h1g1 a5a2 g1h1 e5d6 h1g1 d6c5 g1h1 c5f2 g3f4 g4g3 h2f3 f5g4 f3e1 a2a1
6th TCh-CHN,Ningbo CHN,2010.04.18,3,Ding Liren,Wei Yi,1-0,2565,2244,D34,d2d4 d7d5 c2c4 e7e6 g1f3 c7c5 c4d5 e6d5 b1c3 b8c6 g2g3 g8f6 f1g2 f8e7 e1g1 e8g8 d4c5 e7c5 c3a4 c5e7 c1e3 b7b6 a1c1 c8b7 a4c3 d8d7 d1a4 c6a5 a4d7 f6d7 f3d4 d7f6 d4f5 e7b4 e3d4 f8d8 d4f6 g7f6 f1d1 a5c4 c3d5 b7d5 g2d5 a8c8 d1d4 b6b5 a2a3 b4c5 d4g4 g8f8 d5c4 c5b6 c1c2 b5c4 g4c4 c8c4 c2c4 d8d1 g1g2 f8e8 c4e4 e8d8 e4h4 d1d2 g2f3 d2b2 h4h7 b2b3 e2e3 b3a3 h7f7 a3d3 h2h4 d8e8 f7b7
TCh-CHN,Shanghai CHN,2010.07.24,7,Wang Yue,Wei Yi,1-0,2749,2244,D02,d2d4 d7d5 g1f3 e7e6 c2c4 c7c5 c4d5 e6d5 g2g3 g8f6 f1g2 f8e7 e1g1 e8g8 d4c5 e7c5 d1c2 f6e4 b1c3 e4c3 b2c3 h7h6 f1d1 d8b6 a1b1 b6a5 f3d2 a5c7 d2b3 c5b4 c1b2 b8d7 d1d5 d7b6 d5d4 b4e7 c3c4 e7f6 c4c5 f6d4 b3d4 b6d7 c5c6 b7c6 d4c6 g8h8 c2d2 h8h7 b2a3 c8a6 a3d6 c7c8 d6f8
TCh-CHN,Shanghai CHN,2010.07.25,8,Wei Yi,Wang Hao,0-1,2244,2715,B72,e2e4 c7c5 g1f3 d7d6 d2d4 c5d4 f3d4 g8f6 b1c3 g7g6 c1e3 a7a6 f2f3 b7b5 d1d2 c8b7 e1c1 h7h5 c1b1 b8d7 d4b3 a8c8 e3d4 d8c7 d2f2 e7e5 d4e3 b5b4 c3d5 f6d5 e4d5 f8g7 f1d3 e8g8 d1d2 c8a8 d3e2 a6a5 b3c1 a5a4 c1d3 c7a5 h1d1 f8c8 f2h4 b4b3 h4b4 b3a2 b1a2 b7d5 a2b1 a5c7 d3e1 c8b8 b4a3 d5e6 a3d6 c7c3
TCh-CHN,Shanghai CHN,2010.07.26,9,Ni Hua,Wei Yi,1-0,2667,2244,B90,e2e4 c7c5 g1f3 d7d6 d2d4 c5d4 f3d4 g8f6 b1c3 a7a6 c1e3 e7e5 d4b3 c8e6 d1d2 f8e7 e1c1 b8d7 f2f4 f6g4 g2g3 g4e3 d2e3 e8g8 c1b1 b7b5 f4f5 e6b3 c2b3 d7b6 h2h4 b5b4 c3d5 b6d5 d1d5 a6a5 g3g4 d8c7 g4g5 a5a4 f1c4 a8a5 f5f6 e7d8 h4h5 a5d5 c4d5 a4b3 d5b3 c7b6 e3f3 g8h8 f6g7 h8g7 g5g6 d8g5 g6f7 b6e3 f3e3 g5e3 b1c2 h7h6 b3d5 f8b8 h1h3 e3f4 a2a4 b4a3 b2a3 g7f8 a3a4 b8c8 h3c3
TCh-CHN,Shanghai CHN,2010.07.26,9,Ni Hua,Wei Yi,1-0,2667,2244,B90,e2e4 c7c5 g1f3 d7d6 d2d4 c5d4 f3d4 g8f6 b1c3 a7a6 c1e3 e7e5 d4b3 c8e6 d1d2 f8e7 e1c1 b8d7 f2f4 f6g4 g2g3 g4e3 d2e3 e8g8 c1b1 b7b5 f4f5 e6b3 c2b3 d7b6 h2h4 b5b4 c3d5 b6d5 d1d5 a6a5 g3g4 d8c7 g4g5 a5a4 f1c4 a8a5 f5f6 e7d8 h4h5 a5d5 c4d5 a4b3 d5b3 c7b6 e3f3 g8h8 f6g7 h8g7 g5g6 d8g5 g6f7 b6e3 f3e3 g5e3 b1c2
TCh-CHN,Guangzhou CHN,2010.09.11,11,Liang Jinrong,Wei Yi,1-0,2462,2244,B55,e2e4 c7c5 g1f3 d7d6 d2d4 c5d4 f3d4 g8f6 f2f3 e7e5 d4b3 d6d5 c1g5 c8e6 g5f6 g7f6 f1b5 b8c6 e4d5 d8d5 d1d5 e6d5 b1c3 e8c8 c3d5 d8d5 b5c4 d5d7 c2c3 f8h6 a1d1 h8d8 e1e2 f6f5 d1d7 d8d7 h1d1 d7e7 d1d6 h6g7 c4b5 c8c7 d6d5 c6d8 b5d3 e5e4 d3c2 g7e5 g2g3 f5f4 c2e4 f4g3 h2g3 e5g3 d5h5 d8e6 h5h7 g3d6 e2e3 a7a6 a2a4 e6g5 h7h5 e7e5 b3d4 g5f3 h5e5 f3e5 e4d5 e5c6 d4f5 c6e7 f5e7 d6e7 d5f7 a6a5 e3d3 b7b6
