Event,Site,Date,Round,White,Black,Result,WhiteElo,BlackElo,ECO,Moves
BUL-ch (Women),BUL,1989.??.??,?,"Chilingirova, Pavlina","Stefanova, Antoaneta",1/2-1/2,,,D10,d2d4 d7d5 c2c4 c7c6 c1f4 g8f6 e2e3 c8f5 b1c3 e7e6 d1b3 d8b6 c4c5 b6b3 a2b3 b8d7 b3b4 a7a6 b4b5 c6b5 f1b5 a8c8 b5e2 f8e7 g1f3 f6h5 f3e5 h5f4 e3f4 c8c7 g2g4 f5g6 b2b4 e8g8 e1g1 d7e5 f4e5 f7f6 f2f4 f6e5 f4e5 e7g5 f1f8 g8f8 c3d1 g6c2 b4b5 a6b5 e2b5 g7g6 g1f1 c7f7 f1e2 g5h4 a1a8 f8g7 a8a7 c2d1 e2d1 h4f2 b5e8 f7e7 c5c6 e7e8 a7b7 g7h6 d1e2 f2d4 h2h4 d4e5 e2f3 e8f8 f3g2 e5f6 g4g5 f6g5 h4g5 h6g5 b7h7 d5d4 c6c7 e6e5 h7f7 f8a8 g2f3 a8a3 f3e4 a3c3 e4e5 d4d3 f7f2 d3d2 f2d2 c3c7 d2g2
BUL-ch (Women),BUL,1989.??.??,?,"Genova, Ruzka","Stefanova, Antoaneta",0-1,,,D12,d2d4 d7d5 c2c4 c7c6 g1f3 g8f6 e2e3 c8f5 c4d5 c6d5 b1c3 d8b6 f1b5 b8c6 e1g1 e7e6 f3e5 f8d6 e5c6 b7c6 b5d3 f5d3 d1d3 e8g8 h2h3 a8c8 b2b3 f6d7 c1b2 c6c5 c3a4 b6a5 b2c3 a5c7 d4c5 d7c5 a4c5 d6c5 c3d2 c7b7 b3b4 c5e7 a1c1 h7h6 b4b5 c8c1 f1c1 f8c8 c1c8 b7c8 d3c3 c8b8 c3c6 g8h7 a2a4 b8b6 c6b6 a7b6 a4a5 b6a5 d2a5 e7d6 a5d8 h7g8 b5b6 g8f8 d8c7 f8e7 g1f1 d6c7 b6c7 e7d7
BUL-ch (Women),BUL,1989.??.??,?,"Stefanova, Antoaneta","Peicheva Hansen, Evgenia",1/2-1/2,,,D01,d2d4 g8f6 b1c3 d7d5 c1g5 g7g6 d1d2 h7h6 g5f4 c7c6 f2f3 g6g5 f4g3 c8f5 e1c1 e7e6 e2e3 f8b4 f1d3 b8a6 d3f5 e6f5 g1e2 f6h5 g3e5 f7f6 e5g3 d8d7 d2d3 e8c8 g3f2 d8e8 e3e4 f5e4 f3e4 d5e4 c3e4 d7g4 e2c3 h5f4 d3c4 f4g2 c3d5 g4e4 d5b4 g2e3 f2e3 e4e3 c1b1 a6b4 c4b4 e3e7 b4a5 b7b6 a5c3 c8b7 h1f1 h8f8 c3h3 e7h7 d4d5 c6d5 d1d5 f6f5 h3d3 e8e7 a2a3 h7g7
BUL-ch (Women),BUL,1989.??.??,?,"Gocheva, Rumiana B","Stefanova, Antoaneta",1/2-1/2,,,A07,g2g3 d7d5 f1g2 g8f6 g1f3 c7c6 d2d3 g7g6 e1g1 f8g7 b1d2 e8g8 e2e4 d5e4 d3e4 c8g4 h2h3 g4f3 d1f3 b8d7 f3d3 e7e5 d2c4 d8c7 d3d6 c7d6 c4d6 b7b5 c1e3 d7b6 b2b3 f8d8 d6b7 d8d7 b7c5 d7d6 a2a4 b5a4 b3a4 b6c4 e3c1 a8b8 a4a5 c4d2 f1d1 b8b5
BUL-ch (Women),BUL,1989.??.??,?,"Stefanova, Antoaneta","Savova, Stefka",1-0,,2240,D78,g1f3 g8f6 g2g3 g7g6 f1g2 f8g7 e1g1 e8g8 d2d4 c7c6 c2c4 d7d5 b1d2 f6e4 b2b3 e4d2 d1d2 d5c4 b3c4 c6c5 e2e3 b8c6 c1b2 c6a5 a1c1 c8f5 d2e2 f5e4 f1d1 d8b6 d1d2 f8d8 d4d5 g7b2 d2b2 b6f6 f3e1 e4g2 e1g2 b7b6 e3e4 h7h5 b2c2 a8c8 c1e1 f6d4 e4e5 f7f6 e5f6 d4f6 e2e7 f6e7 e1e7 b6b5 c4b5 d8d5 g2e3 d5d4 e7a7 d4a4 b5b6 c5c4 b6b7
BUL-ch (Women),Bankia,1991.??.??,1,"Stefanova, Antoaneta","Velcheva, Maria",0-1,2150,,D03,d2d4 g8f6 g1f3 g7g6 c1g5 d7d5 b1d2 f6e4 g5h4 f8g7 e2e3 e8g8 d2e4 d5e4 f3d2 c7c5 d2e4 c5d4 e3d4 d8b6 c2c3 c8f5 f1d3 f5e4 d3e4 b6b2 e1g1 b8c6 d1f3 a8c8 f1b1 b2d2 b1d1 d2b2 a1b1 b2a3 b1b7 a3a4 e4c6 c8c6 b7a7 a4a7 f3c6 a7a2 h4e7 a2e2 d1c1 e2e7 d4d5 e7a3 c1d1 a3c3 c6a4 f8d8 g2g3 c3f3 d5d6 h7h5 h2h4 f3g4 a4c2 g4e6 d6d7 g8h7 c2d3 g7f6 d3d2 h7g7 d2d3 e6c6
BUL-ch (Women),Bankia,1991.??.??,4,"Georgieva, Emilia","Stefanova, Antoaneta",1/2-1/2,2065,2150,D03,d2d4 d7d5 g1f3 g8f6 c1g5 f6e4 g5f4 c7c5 c2c3 d8b6 d1b3 b8c6 e2e3 c5d4 b3b6 a7b6 e3d4 c6a5 b1d2 e4d2 f3d2 e8d8 f1d3 c8d7 e1g1 b6b5 b2b3 e7e6 f1c1 d7c6 a2a4 b5a4 b3a4 d8d7 c3c4 d5c4 d3c4 f8d6 f4e3 h8c8 c4b5 c6b5 a4b5 c8c1 a1c1 a8c8 c1b1 f7f5 g2g3 a5c4 d2c4 c8c4 g1f1 d7c7 f1e2 c4a4 e2d3 h7h6 h2h4 a4a3 d3c4 a3a4 c4d3 a4a3 d3c4 a3a4 c4d3
BUL-ch (Women),Bankia,1991.??.??,6,"Stefanova, Antoaneta","Vitanova, Razalina",1-0,2150,2030,D11,g1f3 g8f6 g2g3 d7d5 d2d4 c7c6 f1g2 c8f5 c2c4 e7e6 e1g1 h7h6 b1c3 b8d7 c4d5 c6d5 c1f4 a7a6 a1c1 g7g5 f4e5 d7e5 f3e5 f8e7 d1b3 b7b5 e2e3 e8g8 f2f3 h6h5 e3e4 d5e4 e5c6 d8e8 c6e7 e8e7 f3e4 f5g6 e4e5 f6g4 g2a8 f8a8 h2h3 g4e3 f1f6 e7b7 f6f2 e3f5 c3e2 b7e4 b3f3 e4f3 f2f3 f5e7 f3c3 g8g7 a2a3 b5b4 a3b4 a8b8 c3b3 e7d5 e2c3 d5b6 c3a2 g6e4 b3a3 b8a8 b2b3 e4d5 a2c3 d5b7 c3a4 b6d5 a4c5 b7c8 b4b5 a6a5 c1a1 d5b4 a3a5
BUL-chT (Women),Bankia,1992.??.??,?,"Stefanova, Antoaneta","Ilieva, Hristina",1/2-1/2,2140,2145,D79,d2d4 g8f6 g1f3 g7g6 g2g3 f8g7 f1g2 d7d5 c2c4 e8g8 b1c3 c7c6 c4d5 c6d5 f3e5 e7e6 e1g1 f6d7 f2f4 b8c6 c1e3 d7b6 b2b3 c8d7 a2a4 b6c8 h2h3 c8d6 g3g4 c6e7 a4a5 a8c8 d1d2 d7c6 e3f2 f7f6 e5d3 f6f5 d3c5 c6d7 a5a6 b7b6 c5b7 d8c7 f1c1 c7b8 b7d6 b8d6 e2e3 g8h8 g4g5 h7h5 g5h6 g7h6 f2h4 e7g8 g2f1 h6g7 c3b5 d7b5 f1b5 g8f6 h4e1 f6e4 d2e2 f8g8 e2d1 g7f6 c1c8 g8c8 a1c1 c8c7 c1c2 f6d8 b5e8 c7c2 d1c2 h8g7 c2c8 g6g5 e8d7 d6e7 d7e6 g5f4 e3f4 e7f6 c8d7 g7h6 d7d5 f6g6 g1f1 g6h5 d5d8 h5f3 f1g1 f3e3 g1f1
BUL-chT (Women),Bankia,1992.??.??,?,"Trojanska, Evelina","Stefanova, Antoaneta",1/2-1/2,2025,2140,B01,e2e4 d7d5 e4e5 c8f5 g1f3 e7e6 d2d4 c7c5 f1b5 b8c6 e1g1 d8b6 b1a3 f5g4 c2c3 g4f3 b5c6 b7c6 g2f3 g8e7 a3c2 e7f5 c2e3 f5h4 f3f4 c5d4 c3d4 b6d4 d1g4 h4g6 e3g2 g6e5 g4e2 e5c4 f1d1 d4f6 b2b3 f6a1 b3c4 a8b8 c4d5 c6d5 e2c2 a1b1 c2c6 e8d8 c6a4 f8c5 g2e3 b1b5 a4c2 c5e3 c1e3 b8c8 c2d2 c8c7 e3d4 f7f6 d2e3 h8e8 d1e1 b5a4 a2a3 d8d7 d4c5 a4e4 c5a7 e8a8 e3e4 d5e4 e1d1 d7e7 a7b6 c7c6 b6e3 a8a3 d1b1 a3d3 b1b7 d3d7 b7b4 f6f5 e3d4 e7f7 g1g2 c6c2 g2g3 c2d2 d4e3 d7d3 h2h4 d2e2 b4b7 f7f6 h4h5 h7h6 g3h4 d3e3 f2e3 e2e3 b7f7
